GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rest,se.liu.ida.tdp024.account.rest,Application,33,0,0,0,9,0,2,0,2,0
rest,se.liu.ida.tdp024.account.rest,AccountController,0,76,0,0,0,17,0,7,0,7
